kind,target_ts,value_mw,publish_time,captured_at
solar,1787349600,,,2026-08-22T05:59:07+00:00
solar,1787350500,,,2026-08-22T05:59:07+00:00
solar,1787351400,,,2026-08-22T05:59:07+00:00
solar,1787352300,,,2026-08-22T05:59:07+00:00
solar,1787353200,,,2026-08-22T05:59:07+00:00
solar,1787354100,,,2026-08-22T05:59:07+00:00
solar,1787355000,,,2026-08-22T05:59:07+00:00
solar,1787355900,,,2026-08-22T05:59:07+00:00
solar,1787356800,,,2026-08-22T05:59:07+00:00
solar,1787357700,,,2026-08-22T05:59:07+00:00
solar,1787358600,,,2026-08-22T05:59:07+00:00
solar,1787359500,,,2026-08-22T05:59:07+00:00
solar,1787360400,,,2026-08-22T05:59:07+00:00
solar,1787361300,,,2026-08-22T05:59:07+00:00
solar,1787362200,,,2026-08-22T05:59:07+00:00
solar,1787363100,,,2026-08-22T05:59:07+00:00
solar,1787364000,,,2026-08-22T05:59:07+00:00
solar,1787364900,,,2026-08-22T05:59:07+00:00
solar,1787365800,,,2026-08-22T05:59:07+00:00
solar,1787366700,,,2026-08-22T05:59:07+00:00
solar,1787367600,,,2026-08-22T05:59:07+00:00
solar,1787368500,,,2026-08-22T05:59:07+00:00
solar,1787369400,,,2026-08-22T05:59:07+00:00
solar,1787370300,,,2026-08-22T05:59:07+00:00
solar,1787371200,,,2026-08-22T05:59:07+00:00
solar,1787372100,,,2026-08-22T05:59:07+00:00
solar,1787373000,,,2026-08-22T05:59:07+00:00
solar,1787373900,,,2026-08-22T05:59:07+00:00
solar,1787374800,,,2026-08-22T05:59:07+00:00
solar,1787375700,,,2026-08-22T05:59:07+00:00
solar,1787376600,,,2026-08-22T05:59:07+00:00
solar,1787377500,,,2026-08-22T05:59:07+00:00
solar,1787378400,,,2026-08-22T05:59:07+00:00
solar,1787379300,,,2026-08-22T05:59:07+00:00
solar,1787380200,,,2026-08-22T05:59:07+00:00
solar,1787381100,,,2026-08-22T05:59:07+00:00
solar,1787382000,,,2026-08-22T05:59:07+00:00
solar,1787382900,,,2026-08-22T05:59:07+00:00
solar,1787383800,,,2026-08-22T05:59:07+00:00
solar,1787384700,,,2026-08-22T05:59:07+00:00
solar,1787385600,,,2026-08-22T05:59:07+00:00
solar,1787386500,,,2026-08-22T05:59:07+00:00
solar,1787387400,,,2026-08-22T05:59:07+00:00
solar,1787388300,,,2026-08-22T05:59:07+00:00
solar,1787389200,,,2026-08-22T05:59:07+00:00
solar,1787390100,,,2026-08-22T05:59:07+00:00
solar,1787391000,,,2026-08-22T05:59:07+00:00
solar,1787391900,,,2026-08-22T05:59:07+00:00
solar,1787392800,,,2026-08-22T05:59:07+00:00
solar,1787393700,,,2026-08-22T05:59:07+00:00
solar,1787394600,,,2026-08-22T05:59:07+00:00
solar,1787395500,,,2026-08-22T05:59:07+00:00
solar,1787396400,,,2026-08-22T05:59:07+00:00
solar,1787397300,,,2026-08-22T05:59:07+00:00
solar,1787398200,,,2026-08-22T05:59:07+00:00
solar,1787399100,,,2026-08-22T05:59:07+00:00
solar,1787400000,,,2026-08-22T05:59:07+00:00
solar,1787400900,,,2026-08-22T05:59:07+00:00
solar,1787401800,,,2026-08-22T05:59:07+00:00
solar,1787402700,,,2026-08-22T05:59:07+00:00
solar,1787403600,,,2026-08-22T05:59:07+00:00
solar,1787404500,,,2026-08-22T05:59:07+00:00
solar,1787405400,,,2026-08-22T05:59:07+00:00
solar,1787406300,,,2026-08-22T05:59:07+00:00
solar,1787407200,,,2026-08-22T05:59:07+00:00
solar,1787408100,,,2026-08-22T05:59:07+00:00
solar,1787409000,,,2026-08-22T05:59:07+00:00
solar,1787409900,,,2026-08-22T05:59:07+00:00
solar,1787410800,,,2026-08-22T05:59:07+00:00
solar,1787411700,,,2026-08-22T05:59:07+00:00
